,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
0,"('sushi',)",21115.0,"('go', 'back')",1061,"('spicy', 'tuna', 'roll')",328.0
1,"('food',)",15983.0,"('miso', 'soup')",963,"('can', 'eat', 'sushi')",260.0
2,"('good',)",11719.0,"('first', 'time')",944,"('wont', 'going', 'back')",159.0
3,"('place',)",10568.0,"('can', 'eat')",933,"('food', 'good', 'service')",136.0
4,"('just',)",9936.0,"('food', 'good')",913,"('will', 'go', 'back')",129.0
5,"('like',)",9137.0,"('tasted', 'like')",872,"('will', 'going', 'back')",123.0
6,"('service',)",9032.0,"('fried', 'rice')",870,"('really', 'wanted', 'like')",120.0
7,"('ordered',)",7782.0,"('sushi', 'rolls')",817,"('dont', 'think', 'ill')",116.0
8,"('roll',)",7316.0,"('spicy', 'tuna')",803,"('wont', 'coming', 'back')",115.0
9,"('one',)",7300.0,"('come', 'back')",771,"('food', 'pretty', 'good')",114.0
10,"('time',)",7220.0,"('sushi', 'bar')",768,"('nothing', 'write', 'home')",114.0
11,"('us',)",6829.0,"('pretty', 'good')",730,"('wanted', 'like', 'place')",113.0
12,"('rolls',)",6819.0,"('happy', 'hour')",693,"('wont', 'go', 'back')",113.0
13,"('get',)",6590.0,"('sushi', 'place')",689,"('didnt', 'taste', 'fresh')",103.0
14,"('order',)",6560.0,"('soy', 'sauce')",663,"('shrimp', 'tempura', 'roll')",102.0
15,"('back',)",6539.0,"('good', 'sushi')",648,"('never', 'go', 'back')",98.0
16,"('restaurant',)",5863.0,"('dont', 'know')",636,"('soft', 'shell', 'crab')",95.0
17,"('really',)",5728.0,"('pad', 'thai')",621,"('dont', 'think', 'will')",91.0
18,"('didnt',)",5436.0,"('much', 'better')",587,"('go', 'somewhere', 'else')",90.0
19,"('came',)",5421.0,"('dont', 'think')",584,"('will', 'coming', 'back')",89.0
20,"('go',)",5279.0,"('2', 'stars')",580,"('wouldnt', 'go', 'back')",87.0
21,"('got',)",5083.0,"('customer', 'service')",564,"('hot', 'sour', 'soup')",85.0
22,"('even',)",4967.0,"('going', 'back')",563,"('never', 'came', 'back')",84.0
23,"('dont',)",4862.0,"('even', 'though')",560,"('roll', 'spicy', 'tuna')",83.0
24,"('rice',)",4834.0,"('15', 'minutes')",535,"('chicken', 'fried', 'rice')",83.0
25,"('will',)",4358.0,"('10', 'minutes')",531,"('probably', 'wont', 'back')",82.0
26,"('great',)",4302.0,"('sushi', 'places')",508,"('give', 'another', 'try')",80.0
27,"('better',)",4292.0,"('wont', 'back')",504,"('will', 'never', 'go')",80.0
28,"('fish',)",4058.0,"('im', 'sure')",500,"('last', 'time', 'went')",79.0
29,"('much',)",4007.0,"('two', 'stars')",494,"('food', 'just', 'ok')",74.0
30,"('table',)",3970.0,"('good', 'service')",489,"('giving', 'two', 'stars')",73.0
31,"('also',)",3941.0,"('tuna', 'roll')",480,"('sat', 'sushi', 'bar')",72.0
32,"('minutes',)",3912.0,"('sushi', 'good')",477,"('tea', 'ice', 'cream')",70.0
33,"('menu',)",3900.0,"('eat', 'sushi')",476,"('table', 'next', 'us')",69.0
34,"('can',)",3862.0,"('coming', 'back')",471,"('green', 'tea', 'ice')",69.0
35,"('eat',)",3767.0,"('20', 'minutes')",469,"('chicken', 'pad', 'thai')",69.0
36,"('first',)",3727.0,"('came', 'back')",466,"('general', 'tsos', 'chicken')",67.0
37,"('im',)",3627.0,"('last', 'time')",464,"('took', 'long', 'time')",67.0
38,"('wasnt',)",3611.0,"('didnt', 'even')",445,"('giving', '2', 'stars')",66.0
39,"('two',)",3589.0,"('sushi', 'restaurant')",444,"('happy', 'hour', 'menu')",65.0
40,"('bad',)",3430.0,"('sushi', 'chef')",436,"('much', 'better', 'sushi')",65.0
41,"('chicken',)",3426.0,"('30', 'minutes')",428,"('reason', 'im', 'giving')",63.0
42,"('never',)",3394.0,"('better', 'sushi')",419,"('better', 'sushi', 'places')",62.0
43,"('sauce',)",3389.0,"('ice', 'cream')",417,"('10', 'minutes', 'later')",62.0
44,"('went',)",3306.0,"('ive', 'ever')",415,"('will', 'come', 'back')",62.0
45,"('asked',)",3291.0,"('really', 'good')",414,"('back', 'anytime', 'soon')",61.0
46,"('pretty',)",3286.0,"('minutes', 'later')",412,"('took', '15', 'minutes')",60.0
47,"('ive',)",3285.0,"('service', 'good')",409,"('another', '20', 'minutes')",60.0
48,"('server',)",3244.0,"('nothing', 'special')",409,"('sushi', 'pretty', 'good')",59.0
49,"('said',)",3191.0,"('quality', 'food')",408,"('gave', '2', 'stars')",59.0
50,"('2',)",3172.0,"('just', 'ok')",407,"('seated', 'right', 'away')",59.0
51,"('come',)",3081.0,"('last', 'night')",406,"('food', 'great', 'service')",58.0
52,"('quality',)",3071.0,"('looked', 'like')",395,"('never', 'come', 'back')",58.0
53,"('experience',)",3060.0,"('felt', 'like')",390,"('worst', 'ive', 'ever')",58.0
54,"('nice',)",2969.0,"('wait', 'staff')",389,"('food', 'mediocre', 'best')",58.0
55,"('well',)",2901.0,"('feel', 'like')",378,"('dont', 'get', 'wrong')",58.0
56,"('took',)",2845.0,"('food', 'just')",373,"('another', '10', 'minutes')",57.0
57,"('waitress',)",2765.0,"('sushi', 'roll')",371,"('took', '30', 'minutes')",57.0
58,"('soup',)",2763.0,"('long', 'time')",371,"('ordered', 'spicy', 'tuna')",57.0
59,"('people',)",2763.0,"('good', 'food')",370,"('give', 'another', 'chance')",56.0
60,"('way',)",2723.0,"('shrimp', 'tempura')",367,"('grocery', 'store', 'sushi')",56.0
61,"('bar',)",2716.0,"('next', 'time')",353,"('excited', 'try', 'place')",55.0
62,"('taste',)",2710.0,"('every', 'time')",345,"('spicy', 'salmon', 'roll')",54.0
63,"('try',)",2690.0,"('told', 'us')",334,"('first', 'time', 'went')",53.0
64,"('ok',)",2686.0,"('sushi', 'restaurants')",329,"('im', 'giving', 'two')",53.0
65,"('know',)",2658.0,"('service', 'slow')",322,"('best', 'part', 'meal')",53.0
66,"('going',)",2652.0,"('california', 'roll')",321,"('another', '15', 'minutes')",52.0
67,"('another',)",2631.0,"('pretty', 'much')",318,"('took', 'forever', 'get')",52.0
68,"('fresh',)",2571.0,"('food', 'service')",315,"('place', '2', 'stars')",51.0
69,"('wait',)",2532.0,"('food', 'ok')",314,"('favorite', 'sushi', 'place')",51.0
70,"('think',)",2494.0,"('seemed', 'like')",302,"('take', 'drink', 'order')",51.0
71,"('little',)",2487.0,"('didnt', 'get')",295,"('wouldnt', 'come', 'back')",50.0
72,"('lunch',)",2479.0,"('didnt', 'taste')",293,"('let', 'start', 'saying')",50.0
73,"('dinner',)",2474.0,"('food', 'great')",290,"('give', '2', 'stars')",50.0
74,"('tasted',)",2467.0,"('quality', 'sushi')",289,"('went', 'last', 'night')",49.0
75,"('shrimp',)",2464.0,"('sushi', 'rice')",286,"('sushi', 'ive', 'ever')",49.0
76,"('say',)",2460.0,"('get', 'food')",285,"('took', '10', 'minutes')",49.0
77,"('tuna',)",2456.0,"('also', 'ordered')",285,"('just', 'wasnt', 'good')",49.0
78,"('night',)",2447.0,"('second', 'time')",284,"('miso', 'soup', 'salad')",48.0
79,"('spicy',)",2436.0,"('didnt', 'want')",282,"('im', 'pretty', 'sure')",48.0
80,"('meal',)",2407.0,"('bento', 'box')",282,"('many', 'sushi', 'places')",48.0
81,"('still',)",2394.0,"('cream', 'cheese')",282,"('gave', 'two', 'stars')",48.0
82,"('give',)",2394.0,"('chinese', 'food')",281,"('ive', 'ever', 'seen')",47.0
83,"('take',)",2382.0,"('several', 'times')",279,"('sushi', 'just', 'ok')",47.0
84,"('made',)",2367.0,"('sushi', 'chefs')",279,"('just', 'tasted', 'like')",47.0
85,"('best',)",2345.0,"('45', 'minutes')",278,"('wouldnt', 'recommend', 'place')",46.0
86,"('want',)",2336.0,"('friday', 'night')",274,"('decided', 'try', 'place')",46.0
87,"('times',)",2331.0,"('like', 'place')",268,"('didnt', 'taste', 'like')",46.0
88,"('last',)",2300.0,"('can', 'get')",267,"('want', 'go', 'back')",46.0
89,"('told',)",2264.0,"('gave', 'us')",267,"('15', 'minutes', 'later')",45.0
90,"('price',)",2254.0,"('wasnt', 'good')",266,"('give', 'place', 'another')",45.0
91,"('small',)",2239.0,"('sushi', 'just')",265,"('waited', '15', 'minutes')",45.0
92,"('fried',)",2223.0,"('food', 'came')",264,"('dont', 'waste', 'time')",45.0
93,"('staff',)",2220.0,"('give', 'place')",255,"('yum', 'yum', 'sauce')",45.0
94,"('nothing',)",2178.0,"('raw', 'fish')",255,"('service', 'good', 'food')",45.0
