,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
0,"('sushi',)",29421.0,"('pretty', 'good')",2164,"('spicy', 'tuna', 'roll')",461.0
1,"('good',)",21790.0,"('go', 'back')",1619,"('can', 'eat', 'sushi')",391.0
2,"('food',)",18373.0,"('food', 'good')",1544,"('food', 'pretty', 'good')",230.0
3,"('place',)",14168.0,"('happy', 'hour')",1480,"('sushi', 'pretty', 'good')",193.0
4,"('just',)",11949.0,"('miso', 'soup')",1414,"('food', 'good', 'service')",175.0
5,"('like',)",11470.0,"('can', 'eat')",1300,"('will', 'go', 'back')",171.0
6,"('roll',)",11253.0,"('come', 'back')",1294,"('give', 'another', 'try')",165.0
7,"('service',)",11197.0,"('spicy', 'tuna')",1280,"('nothing', 'write', 'home')",156.0
8,"('rolls',)",10643.0,"('first', 'time')",1227,"('shrimp', 'tempura', 'roll')",152.0
9,"('time',)",8482.0,"('sushi', 'rolls')",1207,"('go', 'back', 'try')",146.0
10,"('really',)",8415.0,"('fried', 'rice')",1111,"('come', 'back', 'try')",144.0
11,"('great',)",8312.0,"('sushi', 'place')",1091,"('soft', 'shell', 'crab')",144.0
12,"('get',)",8256.0,"('really', 'good')",1086,"('roll', 'spicy', 'tuna')",140.0
13,"('ordered',)",8185.0,"('sushi', 'bar')",1072,"('green', 'tea', 'ice')",131.0
14,"('one',)",8066.0,"('sushi', 'good')",956,"('tea', 'ice', 'cream')",121.0
15,"('go',)",7156.0,"('3', 'stars')",941,"('dont', 'get', 'wrong')",118.0
16,"('restaurant',)",7078.0,"('good', 'sushi')",927,"('happy', 'hour', 'menu')",106.0
17,"('order',)",6901.0,"('service', 'good')",839,"('give', 'another', 'shot')",104.0
18,"('back',)",6813.0,"('pad', 'thai')",824,"('seated', 'right', 'away')",102.0
19,"('pretty',)",6643.0,"('next', 'time')",803,"('miso', 'soup', 'salad')",102.0
20,"('also',)",6322.0,"('good', 'service')",751,"('took', 'long', 'time')",101.0
21,"('can',)",5964.0,"('just', 'ok')",730,"('will', 'come', 'back')",101.0
22,"('got',)",5903.0,"('dont', 'know')",698,"('hot', 'sour', 'soup')",101.0
23,"('didnt',)",5857.0,"('ice', 'cream')",677,"('food', 'just', 'ok')",99.0
24,"('menu',)",5855.0,"('tuna', 'roll')",674,"('best', 'ive', 'ever')",98.0
25,"('came',)",5741.0,"('sushi', 'places')",657,"('id', 'go', 'back')",96.0
26,"('nice',)",5729.0,"('nothing', 'special')",634,"('giving', '3', 'stars')",95.0
27,"('rice',)",5701.0,"('good', 'food')",630,"('chicken', 'fried', 'rice')",93.0
28,"('us',)",5647.0,"('even', 'though')",629,"('best', 'sushi', 'ive')",90.0
29,"('dont',)",5576.0,"('im', 'sure')",624,"('wouldnt', 'go', 'way')",90.0
30,"('little',)",5468.0,"('eat', 'sushi')",621,"('definitely', 'go', 'back')",89.0
31,"('will',)",4971.0,"('shrimp', 'tempura')",617,"('dont', 'think', 'ill')",88.0
32,"('im',)",4915.0,"('feel', 'like')",604,"('spicy', 'salmon', 'roll')",87.0
33,"('much',)",4897.0,"('dont', 'think')",603,"('definitely', 'come', 'back')",86.0
34,"('lunch',)",4854.0,"('soy', 'sauce')",580,"('sat', 'sushi', 'bar')",85.0
35,"('better',)",4846.0,"('can', 'get')",565,"('food', 'really', 'good')",84.0
36,"('try',)",4843.0,"('tasted', 'like')",557,"('give', '3', 'stars')",83.0
37,"('wasnt',)",4794.0,"('service', 'great')",546,"('give', 'place', 'another')",83.0
38,"('fish',)",4793.0,"('sushi', 'restaurant')",514,"('chicken', 'pad', 'thai')",83.0
39,"('eat',)",4527.0,"('felt', 'like')",512,"('happy', 'hour', 'specials')",81.0
40,"('ive',)",4454.0,"('sushi', 'roll')",512,"('wont', 'go', 'back')",81.0
41,"('fresh',)",4249.0,"('much', 'better')",498,"('pretty', 'good', 'sushi')",81.0
42,"('chicken',)",4213.0,"('lunch', 'special')",477,"('probably', 'go', 'back')",78.0
43,"('spicy',)",4173.0,"('california', 'roll')",469,"('better', 'sushi', 'places')",78.0
44,"('well',)",4168.0,"('customer', 'service')",468,"('im', 'pretty', 'sure')",78.0
45,"('soup',)",4132.0,"('sushi', 'chef')",456,"('give', 'another', 'chance')",76.0
46,"('first',)",4098.0,"('just', 'okay')",453,"('im', 'giving', '3')",76.0
47,"('sauce',)",4097.0,"('ive', 'ever')",446,"('service', 'pretty', 'good')",75.0
48,"('come',)",4032.0,"('best', 'sushi')",431,"('salad', 'miso', 'soup')",75.0
49,"('even',)",3987.0,"('cream', 'cheese')",431,"('favorite', 'sushi', 'place')",74.0
50,"('think',)",3971.0,"('better', 'sushi')",429,"('sushi', 'just', 'ok')",74.0
51,"('bit',)",3966.0,"('soup', 'salad')",424,"('service', 'good', 'food')",73.0
52,"('bar',)",3907.0,"('great', 'service')",424,"('next', 'time', 'ill')",72.0
53,"('price',)",3829.0,"('specialty', 'rolls')",422,"('food', 'great', 'service')",72.0
54,"('table',)",3753.0,"('last', 'time')",419,"('probably', 'wont', 'back')",71.0
55,"('ok',)",3728.0,"('food', 'great')",416,"('sushi', 'really', 'good')",69.0
56,"('bad',)",3696.0,"('seaweed', 'salad')",413,"('general', 'tsos', 'chicken')",69.0
57,"('tuna',)",3608.0,"('bento', 'box')",405,"('next', 'time', 'will')",68.0
58,"('went',)",3560.0,"('long', 'time')",404,"('gave', '3', 'stars')",68.0
59,"('best',)",3536.0,"('wasnt', 'bad')",402,"('sweet', 'potato', 'roll')",68.0
60,"('shrimp',)",3463.0,"('good', 'place')",395,"('ill', 'go', 'back')",68.0
61,"('two',)",3428.0,"('wait', 'staff')",393,"('roll', 'shrimp', 'tempura')",67.0
62,"('quality',)",3409.0,"('green', 'tea')",393,"('rolls', 'pretty', 'good')",67.0
63,"('3',)",3409.0,"('last', 'night')",392,"('dont', 'think', 'will')",66.0
64,"('though',)",3403.0,"('three', 'stars')",390,"('sushi', 'ive', 'ever')",66.0
65,"('night',)",3384.0,"('give', 'another')",389,"('wouldnt', 'go', 'back')",65.0
66,"('dinner',)",3369.0,"('place', 'go')",387,"('first', 'time', 'went')",65.0
67,"('salad',)",3300.0,"('sushi', 'restaurants')",385,"('really', 'wanted', 'like')",64.0
68,"('still',)",3239.0,"('food', 'just')",378,"('didnt', 'taste', 'fresh')",64.0
69,"('give',)",3238.0,"('every', 'time')",375,"('sushi', 'good', 'service')",64.0
70,"('definitely',)",3213.0,"('food', 'came')",375,"('happy', 'hour', 'prices')",64.0
71,"('decent',)",3186.0,"('back', 'try')",373,"('sit', 'sushi', 'bar')",63.0
72,"('nothing',)",3142.0,"('staff', 'friendly')",372,"('good', 'sushi', 'place')",63.0
73,"('experience',)",3139.0,"('food', 'service')",371,"('heard', 'good', 'things')",62.0
74,"('small',)",3136.0,"('chinese', 'food')",370,"('spicy', 'tuna', 'rolls')",62.0
75,"('people',)",3124.0,"('10', 'minutes')",366,"('roll', 'pretty', 'good')",61.0
76,"('way',)",3035.0,"('food', 'pretty')",364,"('last', 'time', 'went')",61.0
77,"('however',)",2994.0,"('spring', 'rolls')",358,"('spicy', 'tuna', 'spicy')",61.0
78,"('fried',)",2982.0,"('little', 'bit')",358,"('go', 'somewhere', 'else')",59.0
79,"('server',)",2977.0,"('also', 'ordered')",358,"('ok', 'nothing', 'special')",59.0
80,"('stars',)",2959.0,"('give', 'place')",353,"('really', 'good', 'sushi')",59.0
81,"('special',)",2919.0,"('quality', 'food')",353,"('id', 'come', 'back')",58.0
82,"('salmon',)",2914.0,"('4', 'stars')",352,"('tom', 'yum', 'soup')",58.0
83,"('taste',)",2904.0,"('friday', 'night')",350,"('table', 'next', 'us')",58.0
84,"('say',)",2860.0,"('20', 'minutes')",348,"('pretty', 'good', 'service')",57.0
85,"('know',)",2821.0,"('service', 'slow')",345,"('dont', 'feel', 'like')",57.0
86,"('staff',)",2794.0,"('thai', 'food')",341,"('cant', 'go', 'wrong')",56.0
87,"('2',)",2778.0,"('hit', 'miss')",341,"('try', 'something', 'else')",56.0
88,"('made',)",2764.0,"('saturday', 'night')",335,"('service', 'little', 'slow')",55.0
89,"('always',)",2760.0,"('15', 'minutes')",334,"('ordered', 'miso', 'soup')",55.0
90,"('lot',)",2745.0,"('pretty', 'much')",332,"('sushi', 'happy', 'hour')",55.0
91,"('meal',)",2745.0,"('coming', 'back')",332,"('pad', 'see', 'ew')",55.0
92,"('want',)",2742.0,"('make', 'sure')",332,"('shrimp', 'fried', 'rice')",54.0
93,"('times',)",2742.0,"('good', 'great')",332,"('place', '3', 'stars')",54.0
94,"('area',)",2706.0,"('sushi', 'pretty')",329,"('actually', 'pretty', 'good')",54.0
95,"('minutes',)",2697.0,"('great', 'sushi')",328,"('keep', 'coming', 'back')",53.0
96,"('another',)",2682.0,"('going', 'back')",328,"('sushi', 'rolls', 'good')",53.0
97,"('since',)",2677.0,"('japanese', 'food')",325,"('service', 'great', 'food')",53.0
98,"('make',)",2669.0,"('great', 'food')",325,"('wont', 'going', 'back')",53.0
99,"('overall',)",2651.0,"('sushi', 'just')",323,"('ordered', 'pad', 'thai')",53.0
