"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,3,1,1,2,1,1,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,6,0,2,7,2,12,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,4,1,5,12,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,0,1,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,2,1,1,2,2,3,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,2,0,0,2,0,2,0,0,"gebiRewfieSdtt17PTW6Zg"
2,3,0,2,2,2,1,2,3,6,5,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,6,2,3,4,1,10,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,1,1,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,0,0,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
2,1,2,1,1,2,1,1,3,3,-1,"gebiRewfieSdtt17PTW6Zg"
1,8,1,1,7,2,3,7,2,10,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,7,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,1,3,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,2,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,1,3,4,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,2,4,0,4,9,"gebiRewfieSdtt17PTW6Zg"
1,9,1,0,9,0,4,7,1,10,8,"gebiRewfieSdtt17PTW6Zg"
3,10,1,2,8,3,8,8,6,12,11,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,1,1,0,1,4,0,"gebiRewfieSdtt17PTW6Zg"
2,4,0,1,1,1,3,2,4,4,2,"gebiRewfieSdtt17PTW6Zg"
