"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,1,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,4,0,2,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,2,1,2,4,1,7,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,0,1,6,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,2,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
2,4,1,1,2,3,1,3,2,6,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
3,4,3,2,3,5,1,5,4,7,3,"gebiRewfieSdtt17PTW6Zg"
