"","business_id","name","address","city","state","stars","review_count"
"1","MUTTqe8uqyMdBl186RmNeA","Tuna Bar","205 Race St","Philadelphia","PA",4,245
"2","Dtuf4vD0znzwJW9vk3iTNw","Tomo Japanese Steakhouse and Sushi Bar","7411 N Keystone Ave, Ste A","Indianapolis","IN",4,246
"3","Wt1W6qwCvna1KzIuJRJbwA","Tokyo Mandarin","370 Delsea Dr N","Glassboro","NJ",4,88
"4","71U7MxQEhwitJOm4CQpRwQ","KELP Sushi Joint","3401 W Bay To Bay Blvd, Ste D","Tampa","FL",4,325
"5","dUctvEfHQccW_uxtRup2QQ","Tsunami Japanese Steakhouse","2176 Tyrone Blvd N","Saint Petersburg","FL",3,212
"6","uE3yzH2l1A_FYciu95EptA","Koi Sushi & Thai","102 Lumber Dr","Franklin","TN",4,157
"7","Xjal8g4PsYinAfeQ8RWf4Q","Wasabi2","1375 Dilworthtown Crossing","West Chester","PA",4.5,78
"8","_cndcbuaqSRW5f-MeZasNw","Toyama Japanese Steak House","15532 Old Hickory Blvd","Nashville","TN",3,142
"9","HJe8eEH5qXRjQMAh1VfV_w","Kobe Japanese Steakhouse","2773 66th St N","Saint Petersburg","FL",4.5,91
"10","lhsQkb5nhf-Kd5OvgB9MNg","Sachiko Sushi -Valencia Rd","3210 E Valencia Rd","Tucson","AZ",3.5,191
"11","plobBsTtVUODb353xxFT_g","Sushi Rose","2005 Sierra Highlands Dr, Ste 147A","Reno","NV",3.5,634
"12","ARgidflSXPHj7uhK-Y7hwA","Kampai Sushi Bar","4949 W Pine Blvd","Saint Louis","MO",4,328
"13","ymoEdJB5NE56sWw74uyX7A","Sushi Bar","911 Broad Ripple Rd","Indianapolis","IN",4,346
"14","AODksDNj5mH953cyhUG1Qw","Thai 5 Fast Food","3424 S Dale Mabry Hwy","Tampa","FL",4,336
"15","2Q1R2OhBbAQ581vK_r7NhA","Ooka Restaurant","1109 Easton Rd","Willow Grove","PA",4,394
"16","0fYRCLVFWte0uo-1W7gJGQ","Hōru Sushi Kitchen","5055 Broadway Pl","Nashville","TN",5,8
"17","OIES_WhdNux3PmvSuPM-8Q","Toki Sushi","14313 N Dale Mabry Hwy","Tampa","FL",4,106
"18","bRhnVTfuxDchyFguyDzuDQ","Queen Sushi","281 N Keswick Ave","Glenside","PA",3.5,76
"19","EjFp57Nd4bVgb5GNn-XnuA","Tokyo","7911 W Hillsborough Ave","Tampa","FL",3.5,155
"20","WO5nr-4sjVs506BdCLL0aA","Kuchi Sushi & Hibachi","9206 Anderson Rd","Tampa","FL",4,319
"21","5R6YO6K9PkthkTbXqV9slQ","Sakura Japanese Restaurant","4713 Kirkwood Hwy","Wilmington","DE",4,86
"22","KBsLYznLfnJEY3RIBUZe0Q","Kei Sushi","5085 S McCarran Blvd","Reno","NV",4,357
"23","5Ce3lZksYVkCbrihqylVHQ","Sushi Nara","64 N Harrison Rd","Tucson","AZ",4.5,159
"24","NmzXH-HdWp-Sxdfnw3imUQ","Emoji Sushi & Teriyaki","1600 Old York Rd","Abington","PA",5,13
"25","1Pxg1AMf0rEn9QF__ZYoWw","Samurai Sushi","2209 Elliston Pl","Nashville","TN",4,367
"26","ajfBGoRGUzhD0fTXLENcrw","Asahi Sushi & Asian Grill","102 Woodland Hwy","Belle Chasse","LA",4,56
"27","k3EQAQGptzHzl6oEoas61w","Ithai & Sushi Restaurant","11002 Seminole Blvd","Largo","FL",4,63
"28","oYzq49fG7jokPLQ38bFMOw","Hachi","4275 County Ln Rd","Chalfont","PA",4.5,258
"29","8LonS_bxNmCDk3FWiG9lzA","Tomo Sushi & Ramen","228 Arch St","Philadelphia","PA",4.5,193
"30","64i1xdiU1Wvo1Cuu0erFGA","Megu Sushi & Hibachi","1990 Marlton Pike E, Ste 18","Cherry Hill","NJ",3.5,121
"31","Vo4NZBtF3mr6EJitNnq-Wg","Pizzeria Maki","4007 Kennett Pike, Ste A","Greenville","DE",5,13
"32","zSEFzAbxnO44w8ACQ_XkAA","Akira Hibachi & Sushi Bar","13420 Boyette Rd","Riverview","FL",4,74
"33","V7TaLZ5EB94hqRIZ1_xjGQ","Kawa Japanese Cuisine","821 W Sproul Rd","Springfield","PA",4.5,145
"34","IDITmPV4olLuRHdnQ9m9BQ","Katsumi's Teaching Kitchen","222 Main St","Beech Grove","IN",5,21
"35","vC2qm1y3Au5czBtbhc-DNw","Sushi Teri","970 Linden Ave","Carpinteria","CA",3,167
"36","8G4mt9y5mRg161XBs-hePw","Izakaya Ren","2948 Dougherty Ferry Rd","Valley Park","MO",4,121
"37","3PlpoDgeAQAreL8FM2LelA","Kauboi Izakaya","1286 S Virginia St","Reno","NV",4,312
"38","0wTai9TZOXmZ7qrhp2e8XA","Makoto Japanese Steakhouse","2182 Hwy 41 S","Greenbrier","TN",4,27
"39","25g42U7hBsDPF5RTpZ24mw","The River House","313 Demonbreun St","Nashville","TN",4.5,41
